"日期","open","high","low","收盤價","成交量","ema12","ema26","dif","macd_signal","macd_hist","k","d","外資買賣超","投信買賣超","融資餘額"
"2025-12-16","1420.0","1450.0","1415.0","1420.0","9341946","1398.2049040918384","1358.6517403079054","39.55","34.57873836450906","4.97","51.02","58.9","107855","6058","7628"
"2025-12-17","1435.0","1455.0","1425.0","1425.0","9223276","1402.327226539248","1363.5664262110236","38.76","35.41515075725212","3.35","52.76","56.85","-215989","482528","7757"
"2025-12-18","1425.0","1445.0","1415.0","1420.0","5601522","1405.0461147639792","1367.746690936133","37.3","35.79200537137092","1.51","51.84","55.18","-1411459","399000","8071"
"2025-12-19","1440.0","1445.0","1410.0","1410.0","8310030","1405.8082509541362","1370.8765656816047","34.93","35.61994135160303","-0.69","47.06","52.48","-1842620","217461","7901"
"2025-12-22","1430.0","1435.0","1390.0","1400.0","6073797","1404.9146738842692","1373.033857112597","31.88","34.872116435616874","-2.99","39.71","48.22","-1186143","304558","7223"
"2025-12-23","1405.0","1405.0","1380.0","1390.0","5671118","1402.6201086713047","1374.2906084375898","28.33","33.56359319523649","-5.23","30.92","42.45","-1597379","260731","7075"
"2025-12-24","1395.0","1400.0","1380.0","1380.0","3385989","1399.1400919526425","1374.7135263311015","24.43","31.736187680497384","-7.31","20.61","35.17","-1077543","-140677","7152"
"2025-12-26","1390.0","1395.0","1380.0","1385.0","3219060","1396.9646931906975","1375.4754873436125","21.49","29.686791313814915","-8.2","15.96","28.77","-1286451","441731","7223"
"2025-12-29","1390.0","1425.0","1380.0","1420.0","6672115","1400.5085865459748","1378.7735993922338","21.73","28.09643048180014","-6.36","28.42","28.65","-769568","849958","7304"
"2025-12-30","1405.0","1430.0","1400.0","1420.0","4492497","1403.507265538902","1381.827406844661","21.68","26.813116124288296","-5.13","36.72","31.34","-1039684","548288","7412"
"2025-12-31","1420.0","1450.0","1415.0","1430.0","6748078","1407.5830708406093","1385.3957470783898","22.19","25.887957651874522","-3.7","48.29","36.99","455349","576676","7447"
"2026-01-02","1450.0","1495.0","1440.0","1470.0","12570809","1417.1856753266693","1391.662728776287","25.52","25.814955431576088","-0.29","58.28","44.09","-371290","983788","7118"
"2026-01-05","1510.0","1530.0","1495.0","1525.0","14470072","1433.7724945071818","1401.5395636817473","32.23","27.09855051034778","5.13","71.08","53.08","212582","1341819","6927"
"2026-01-06","1505.0","1505.0","1480.0","1485.0","8513790","1441.6536491983848","1407.72181822384","33.93","28.46520660318717","5.47","70.72","58.96","-2309091","301562","7049"
"2026-01-07","1490.0","1505.0","1475.0","1490.0","7517221","1449.0915493217103","1413.8164983554075","35.28","29.827175475810304","5.45","71.59","63.17","-472581","740300","6877"
"2026-01-08","1495.0","1500.0","1435.0","1445.0","9055715","1448.4620801952933","1416.126387366118","32.34","30.3288789464833","2.01","62.17","62.84","-1171649","17789","6794"
"2026-01-09","1455.0","1460.0","1415.0","1420.0","8606613","1444.0832986267867","1416.4133216352946","27.67","29.79709855548507","-2.13","50.34","58.67","-909426","-234055","6746"
"2026-01-12","1445.0","1450.0","1425.0","1445.0","4496882","1444.224329607281","1418.5308533660134","25.69","28.976374092641603","-3.28","45.1","54.15","112436","-346876","6718"
"2026-01-13","1455.0","1485.0","1450.0","1485.0","10707392","1450.4975096676994","1423.4544938574197","27.04","28.589702436169226","-1.55","50.35","52.88","3786271","-634620","6346"
"2026-01-14","1485.0","1500.0","1480.0","1500.0","6438448","1458.1132774111302","1429.1245313494626","28.99","28.669511161268904","0.32","58.21","54.66","759943","40460","6099"
"2026-01-15","1500.0","1500.0","1465.0","1490.0","8207614","1463.018927040187","1433.6338253235765","29.39","28.812629272337226","0.57","60.54","56.62","1512798","-597581","6120"
"2026-01-16","1500.0","1525.0","1490.0","1505.0","11159846","1469.477553649389","1438.9202086329412","30.56","29.16157242115932","1.4","67.64","60.29","2626302","-256177","5976"
"2026-01-19","1510.0","1510.0","1465.0","1485.0","5943945","1471.8656223187138","1442.3335265119827","29.53","29.23567709827369","0.3","66.3","62.29","-1182075","-186666","5969"
"2026-01-20","1480.0","1500.0","1470.0","1485.0","6508709","1473.8862958081424","1445.4940060296135","28.39","29.066999634324745","-0.67","65.41","63.33","327202","119966","5886"
"2026-01-21","1470.0","1495.0","1450.0","1465.0","8818222","1472.5191733761205","1446.9388944718644","25.58","28.36965548831103","-2.79","58.76","61.81","35911","-862642","5872"
"2026-01-22","1495.0","1525.0","1465.0","1485.0","8378753","1474.4393005490251","1449.7582356220967","24.68","27.631937376034514","-2.95","59.17","60.93","1160151","-81116","5813"
"2026-01-23","1525.0","1630.0","1525.0","1630.0","24256744","1498.371715849175","1463.1094774278672","35.26","29.157997585089163","6.1","72.78","64.88","9517263","-1391742","7023"
"2026-01-26","1740.0","1790.0","1720.0","1770.0","24725299","1540.1606826416096","1485.8421087295067","54.32","34.190112850491914","20.13","79.89","69.89","1199608","981606","7093"
"2026-01-27","1755.0","1820.0","1750.0","1775.0","12659900","1576.2898083890543","1507.2612117865804","69.03","41.15780960088833","27.87","82.54","74.1","1401707","380586","6876"
"2026-01-28","1755.0","1800.0","1740.0","1780.0","10480567","1607.6298378676613","1527.4640849875746","80.17","48.95939825672802","31.21","84.76","77.66","-1015552","585288","6765"
"2026-01-29","1780.0","1815.0","1770.0","1780.0","10329367","1634.1483243495595","1546.1704490625689","87.98","56.76309366278055","31.21","86.23","80.52","1842337","-86382","6700"
"2026-01-30","1770.0","1775.0","1735.0","1760.0","11234997","1653.5101206034733","1562.0096750579341","91.5","63.71056403933227","27.79","85.42","82.15","-542348","403588","6306"
"2026-02-02","1715.0","1740.0","1685.0","1705.0","10073770","1661.4316405106313","1572.6015509795686","88.83","68.73446913767835","20.1","79.92","81.41","-2088347","259168","6342"
"2026-02-03","1740.0","1805.0","1720.0","1795.0","11841933","1681.980618893611","1589.0755101662673","92.91","73.56859705561143","19.34","84.26","82.36","1084653","857207","6833"
"2026-02-04","1760.0","1810.0","1740.0","1800.0","11777248","1700.1374467561325","1604.6995464502475","95.44","77.94245770566616","17.5","87.25","83.99","-532366","222237","7181"
"2026-02-05","1750.0","1800.0","1740.0","1770.0","16289216","1710.8855318705737","1616.94402449097","93.94","81.14226764045368","12.8","79.15","82.38","687921","760633","6374"
"2026-02-06","1745.0","1755.0","1690.0","1710.0","11897828","1710.7492961981777","1623.8370597138612","86.91","82.29626140922625","4.62","58.94","74.57","-3749896","259533","5669"
"2026-02-09","1760.0","1870.0","1760.0","1830.0","12809280","1729.095558321535","1639.1083886239458","89.99","83.83444306689884","6.15","65.42","71.52","4159183","317573","5800"
"2026-02-10","1860.0","1865.0","1820.0","1845.0","11214078","1746.9270108874528","1654.3596190962462","92.57","85.5810328117604","6.99","72.44","71.83","-653954","548256","5848"
"2026-02-11","1795.0","1865.0","1795.0","1855.0","8732306","1763.5536245970754","1669.2218695335614","94.33","87.33117726211113","7.0","78.93","74.19","368977","6000","5687"
"2026-02-23","1880.0","1880.0","1790.0","1795.0","17358721","1768.3915285052176","1678.538768086631","89.85","87.83549389340621","2.02","71.42","73.27","-4503108","88410","5717"
"2026-02-24","1810.0","1825.0","1795.0","1825.0","7063638","1777.1005241197995","1689.3877482283622","87.71","87.81095029301244","-0.1","71.3","72.61","1607441","-114136","5825"
"2026-02-25","1840.0","1870.0","1830.0","1870.0","8467982","1791.3927511782917","1702.7664335447798","88.63","87.97402376111233","0.65","79.11","74.78","3067569","-42421","5697"
"2026-02-26","1895.0","1975.0","1850.0","1945.0","14552360","1815.0246356124007","1720.709660689611","94.31","89.24221399344785","5.07","82.57","77.37","757762","309820","5787"
"2026-03-02","1945.0","1945.0","1880.0","1900.0","9622026","1828.0977685951084","1733.9904265644545","94.11","90.21523960088906","3.89","79.6","78.12","-813157","194749","5727"
"2026-03-03","1900.0","1910.0","1815.0","1815.0","11048054","1826.082727272784","1739.991135707828","86.09","89.39050999370244","-3.3","61.6","72.61","-3590467","-8052","5814"
"2026-03-04","1760.0","1780.0","1715.0","1720.0","12334830","1809.7623076923555","1738.5103108405815","71.25","85.76280736531676","-14.51","41.71","62.31","-3064271","333978","5866"
"2026-03-05","1760.0","1800.0","1750.0","1775.0","8337045","1804.4142603550702","1741.2132507783163","63.2","81.2504478076042","-18.05","35.5","53.37","-1555825","-8752","5849"
"2026-03-06","1745.0","1790.0","1735.0","1765.0","4669229","1798.3505279927517","1742.9752322021445","55.38","76.07541740420481","-20.7","30.07","45.61","-955293","-65233","5873"
"2026-03-09","1620.0","1665.0","1610.0","1665.0","12529102","1777.835062147713","1737.1992890760596","40.64","68.98748853769453","-28.35","25.07","38.76","-2272447","494607","5669"
"2026-03-10","1730.0","1730.0","1685.0","1705.0","5620606","1766.6296679711418","1734.814156551907","31.82","61.553093114002586","-29.74","25.39","34.3","-593085","-108674","5730"
"2026-03-11","1760.0","1780.0","1720.0","1765.0","6109945","1766.3789498217352","1737.0501449554692","29.33","55.10823546445526","-25.78","31.08","33.23","-948153","-96533","5799"
"2026-03-12","1745.0","1815.0","1735.0","1785.0","6611202","1769.2437267722376","1740.6019860698789","28.64","49.81493651203595","-21.17","38.13","34.87","-729961","-283256","5869"
"2026-03-13","1730.0","1745.0","1720.0","1720.0","7254798","1761.6677688072778","1739.0759130276656","22.59","44.370320365551194","-21.78","37.65","35.79","-3478757","-194297","6001"
"2026-03-16","1720.0","1740.0","1710.0","1710.0","4716006","1753.7188812984657","1736.922141692283","16.8","38.85560421367749","-22.06","41.36","37.65","-685342","-262256","6017"
"2026-03-17","1730.0","1740.0","1715.0","1730.0","4685106","1750.0698226371633","1736.4093904558176","13.66","33.816569807211124","-20.16","47.08","40.79","-543862","-112637","5983"
"2026-03-18","1730.0","1745.0","1725.0","1730.0","6292375","1746.9821576160612","1735.9346207924236","11.05","29.26276321049641","-18.22","50.9","44.16","-920633","-155860","5954"
"2026-03-19","1700.0","1705.0","1665.0","1680.0","8011625","1736.6772102905134","1731.7913155485403","4.89","24.387389516791742","-19.5","45.32","44.55","-3005217","-221900","6038"
"2026-03-20","1685.0","1715.0","1655.0","1700.0","8267553","1731.0345625535115","1729.4364032856854","1.6","19.82954346699861","-18.23","39.59","42.89","1100107","-222805","6006"
"2026-03-23","1630.0","1645.0","1600.0","1625.0","7225878","1714.7215529298944","1721.7003734126718","-6.98","14.467870677043422","-21.45","30.27","38.68","-1675318","14217","6160"
"2026-03-24","1655.0","1665.0","1600.0","1620.0","5766587","1700.1490063252952","1714.1670124191405","-14.02","8.770695322865674","-22.79","23.28","33.55","144755","-129246","6120"
"2026-03-25","1665.0","1665.0","1620.0","1620.0","6144537","1687.8183899675576","1707.1916781658708","-19.37","3.1418986186298836","-22.52","20.12","29.07","-843348","-167976","6309"
"2026-03-26","1610.0","1640.0","1590.0","1590.0","7833984","1672.7694068956257","1698.510813116547","-25.74","-2.634762349280366","-23.11","13.41","23.85","-2165766","-338826","6255"
"2026-03-27","1560.0","1585.0","1545.0","1585.0","7673536","1659.2664212193756","1690.1026047375435","-30.84","-8.275046583057874","-22.56","15.61","21.1","545089","-784763","6141"
"2026-03-30","1540.0","1555.0","1505.0","1510.0","8234525","1636.3023564163948","1676.7616710532811","-40.46","-14.711900193823569","-25.75","11.1","17.77","-1259054","96186","6268"
"2026-03-31","1525.0","1540.0","1490.0","1490.0","11429002","1613.7943015831033","1662.9274731974826","-49.13","-21.596154477934718","-27.54","7.4","14.31","313333","-855753","6105"
"2026-04-01","1550.0","1550.0","1460.0","1465.0","11745526","1590.9028705703183","1648.266178886558","-57.36","-28.74958524559571","-28.61","5.59","11.4","-3537117","-62973","6375"
"2026-04-02","1500.0","1510.0","1445.0","1465.0","9301597","1571.5331981748848","1634.6909063764426","-63.16","-35.631209836788145","-27.53","6.75","9.85","-824336","-27277","6373"
"2026-04-07","1480.0","1480.0","1430.0","1470.0","7645561","1555.9127061479794","1622.4915799781877","-66.58","-41.82074263547217","-24.76","10.18","9.96","-829177","-686370","6420"
"2026-04-08","1520.0","1585.0","1505.0","1580.0","14575742","1559.618443663675","1619.3440555353588","-59.73","-45.40171648271452","-14.32","28.06","15.99","-80822","-55480","6488"
"2026-04-09","1600.0","1600.0","1550.0","1575.0","8422977","1561.9848369461865","1616.0593106808878","-54.07","-47.13626793311188","-6.94","41.72","24.57","-727951","-177842","6500"
"2026-04-10","1600.0","1605.0","1570.0","1575.0","5738781","1563.9871697236963","1613.0178802600815","-49.03","-47.515156453766544","-1.52","55.43","34.86","-1441359","-276294","6375"
"2026-04-13","1645.0","1665.0","1620.0","1620.0","9234745","1572.604528227743","1613.5350743148904","-40.93","-46.19823438044271","5.27","63.91","44.54","439446","-525442","6674"
"2026-04-14","1645.0","1745.0","1640.0","1720.0","12902742","1595.280754654244","1621.4213651063799","-26.14","-42.18670959478135","16.05","73.29","54.13","121190","143063","7296"
"2026-04-15","1805.0","1845.0","1770.0","1790.0","22780413","1625.2375616305142","1633.908671394796","-8.67","-35.483589628681464","26.81","77.78","62.01","4490766","264196","7166"
"2026-04-16","1850.0","1930.0","1810.0","1895.0","17931934","1666.7394752258197","1653.2487698099965","13.49","-25.688730619780536","39.18","82.85","68.96","1179971","1386202","8134"
"2026-04-17","1930.0","1955.0","1885.0","1925.0","16759982","1706.4718636526165","1673.3784905648115","33.09","-13.932309878263421","47.03","86.66","74.86","5340296","1283627","7864"
"2026-04-20","1960.0","1965.0","1895.0","1900.0","11656022","1736.2454230906756","1690.1652690414921","46.08","-1.9298170927740532","48.01","86.4","78.71","-45468","169785","7672"
"2026-04-21","1930.0","2090.0","1925.0","2090.0","19459855","1790.6692041536485","1719.7826565199","70.89","12.633455852530453","58.25","90.93","82.78","4321143","1052328","8690"
"2026-04-22","2120.0","2295.0","2110.0","2295.0","24343038","1868.2585573607794","1762.391348629537","105.87","31.28020642827282","74.59","93.95","86.51","-567785","2528018","9332"
"2026-04-23","2325.0","2335.0","2170.0","2215.0","29760982","1921.6033946898901","1795.9179153977195","125.69","50.16126100105238","75.52","90.38","87.8","746657","595074","8615"
"2026-04-24","2340.0","2435.0","2330.0","2435.0","22985015","2000.5874878145223","1843.2573290719627","157.33","71.59504054935384","85.74","93.58","89.72","828910","1769064","9009"
"2026-04-27","2470.0","2575.0","2410.0","2435.0","25538897","2067.4201819969035","1887.0901195110766","180.33","93.34204493664845","86.99","89.93","89.79","143632","565832","9000"
"2026-04-28","2490.0","2675.0","2485.0","2615.0","24314216","2151.6632309204565","1941.0093699176637","210.65","116.80440814987733","93.85","90.97","90.18","1191234","1214517","9609"
"2026-04-29","2550.0","2595.0","2500.0","2575.0","13156720","2216.7919646250016","1987.9716388126515","228.82","139.20759168237188","89.61","89.76","90.04","-2002739","1374180","9538"
"2026-04-30","2665.0","2685.0","2565.0","2610.0","17532158","2277.2855085288475","2034.047813715418","243.24","160.01361230858342","83.22","90.01","90.03","1447445","74934","9055"
"2026-05-04","2870.0","2870.0","2870.0","2870.0","4019865","2368.4723533705633","2095.970197884646","272.5","182.5113209440502","89.99","93.34","91.13","-822715","-120757","9947"
"2026-05-05","3155.0","3155.0","3155.0","3155.0","10091886","2489.476606698169","2174.416849893191","315.06","209.02100811623575","106.04","95.56","92.61","2021487","47113","9234"
"2026-05-06","3470.0","3470.0","3155.0","3430.0","39638460","2634.172513359989","2267.4230091603617","366.75","240.56670733291406","126.18","96.01","93.74","4224818","593864","7903"
"2026-05-07","3430.0","3430.0","3295.0","3420.0","8465341","2755.0690497661444","2352.799082555891","402.27","272.90735930838196","129.36","95.88","94.46","-879472","-62159","7775"
