"日期","open","high","low","收盤價","成交量","ema12","ema26","dif","macd_signal","macd_hist","k","d","外資買賣超","投信買賣超","融資餘額"
"2026-01-02","253.0","264.0","250.0","258.0","24219119","242.8194909590344","237.33423573493639","5.49","3.027541394733916","2.46","82.54","74.28","-3659693","541727","10418"
"2026-01-05","263.5","264.0","251.5","263.5","22769643","246.00110773456757","239.27244049531146","6.73","3.7677665636383555","2.96","87.86","78.81","1523323","611208","9691"
"2026-01-06","270.5","273.5","267.0","271.5","29433817","249.9240142369418","241.6596671252884","8.26","4.667082673241364","3.6","90.36","82.66","1156307","503261","9317"
"2026-01-07","277.5","281.5","273.5","275.0","29114025","253.78185820048918","244.12932141230408","9.65","5.664173496230112","3.99","89.32","84.88","333342","1141864","7913"
"2026-01-08","275.5","276.5","268.0","273.5","21053115","256.815418477337","246.3049272336149","10.51","6.63343704572851","3.88","87.33","85.7","895753","-555652","7401"
"2026-01-09","273.0","274.0","261.5","272.0","17928197","259.15150794236206","248.20826595705086","10.94","7.495398033645049","3.45","83.92","85.1","448373","129950","5905"
"2026-01-12","280.0","296.0","275.0","283.0","24777955","262.8205067204602","250.78543144171377","12.04","8.403333482665321","3.63","80.95","83.72","3582400","777945","5642"
"2026-01-13","289.0","294.5","287.0","289.5","28537797","266.92504414808167","253.65317726084606","13.27","9.377040163579379","3.89","82.96","83.47","1846679","690023","5348"
"2026-01-14","290.5","295.0","287.0","294.5","18621487","271.1673450483768","256.6788678341167","14.49","10.399327573715514","4.09","87.56","84.83","3481668","266802","5228"
"2026-01-15","294.5","298.5","288.5","298.5","15934987","275.37236888708804","259.776729476034","15.6","11.438589941183219","4.16","91.7","87.12","4107077","374377","5080"
"2026-01-16","301.5","308.5","298.0","303.5","29088654","279.699696750613","263.01549025558705","16.68","12.487713251951762","4.2","90.92","88.39","1397704","-347945","4971"
"2026-01-19","303.5","306.0","296.5","299.0","18992941","282.66897417359564","265.68100949591394","16.99","13.38776353709775","3.6","87.21","88.0","-908727","878772","4856"
"2026-01-20","292.5","299.0","292.0","296.0","15394474","284.7199012238117","267.92686064436475","16.79","14.068818945567589","2.72","82.61","86.2","793493","-187490","4621"
"2026-01-21","295.0","298.0","290.0","291.0","20850621","285.6860702663022","269.6359820781155","16.05","14.46507279409141","1.59","75.99","82.8","-183647","-438010","4459"
"2026-01-22","300.0","305.5","294.0","298.0","20996469","287.5805209945634","271.73702044269953","15.84","14.740758345645906","1.1","73.55","79.72","3909002","-1081048","4494"
"2026-01-23","303.0","313.0","298.5","307.5","25150591","290.64505622616906","274.3861300395366","16.26","15.044391913843214","1.21","75.31","78.25","8083118","-4460419","4503"
"2026-01-26","308.5","315.0","306.0","312.0","15664949","293.9304321913738","277.17234262920056","16.76","15.387131443509224","1.37","79.97","78.82","353951","209334","4127"
"2026-01-27","314.5","314.5","306.5","306.5","12417082","295.8642118542394","279.3447616937042","16.52","15.61359518691442","0.91","75.96","77.87","-2472054","316154","4367"
"2026-01-28","312.5","317.0","310.5","314.0","21034864","298.65433310743333","281.91181638305943","16.74","15.839379494406318","0.9","80.27","78.67","3478630","103660","4276"
"2026-01-29","314.0","317.5","308.5","310.0","20052932","300.3998203216744","283.99242257690685","16.41","15.952983144478562","0.45","77.75","78.36","1918982","180550","4216"
"2026-01-30","305.0","305.5","295.5","297.0","25945896","299.87677104141676","284.9559468304693","14.92","15.74655135777234","-0.83","60.32","72.35","-2101590","-1265852","4383"
"2026-02-02","294.0","298.0","288.5","292.0","13901958","298.664960111968","285.4777285467308","13.19","15.234687399265312","-2.05","44.24","62.98","586735","1237411","4390"
"2026-02-03","303.5","306.5","296.5","302.0","20529840","299.17804317166525","286.70160050623224","12.48","14.683038452498852","-2.21","45.01","56.99","955986","266916","5751"
"2026-02-04","302.0","304.0","299.5","302.5","12752984","299.68911345294754","287.8718523205854","11.82","14.109882988471512","-2.29","46.1","53.36","1875291","107983","5707"
"2026-02-05","294.0","296.0","279.0","284.0","39739328","297.2754036909556","287.58504844498646","9.69","13.225977439971041","-3.54","35.06","47.26","-10491740","-1854269","5815"
"2026-02-06","303.0","309.0","298.0","304.5","53071048","298.3868800461932","288.8380078194319","9.55","12.490556397329097","-2.94","45.45","46.66","15656623","857836","4800"
"2026-02-09","319.5","330.0","316.5","327.0","35712116","302.788898500625","291.6648220550295","11.12","12.21726040698238","-1.09","61.67","51.66","7174852","921866","4640"
"2026-02-10","358.0","359.0","341.5","344.0","34343709","309.12906796206727","295.54150190280507","13.59","12.491321537438344","1.1","68.2","57.17","4498042","-231000","4412"
"2026-02-11","350.0","356.5","345.0","354.5","21200491","316.10921135251846","299.9087980581528","16.2","13.233139888823807","2.97","76.92","63.76","3876334","352000","4157"
"2026-02-23","376.0","376.0","348.0","349.0","41310197","321.16933268290023","303.5451833871785","17.62","14.111341770203394","3.51","75.34","67.62","-5076511","664599","4291"
"2026-02-24","360.0","383.0","358.5","381.5","34632289","330.4509738086079","309.3196142473875","21.13","15.515345328406795","5.62","83.08","72.77","6174377","941832","4132"
"2026-02-25","385.0","392.0","378.5","389.0","29544065","339.45851629959134","315.22186504387736","24.24","17.259606513868235","6.98","87.83","77.79","3411642","822560","3972"
"2026-02-26","388.0","394.0","381.0","387.5","40211654","346.8495137919619","320.5758009665531","26.27","19.062427776176342","7.21","90.01","81.86","7760521","-4717278","3936"
"2026-03-02","358.5","382.0","358.5","370.5","26177963","350.4880501316601","324.2738897838455","26.21","20.49277429050399","5.72","85.18","82.97","-6128078","489280","4030"
"2026-03-03","366.0","377.5","354.5","359.5","30596470","351.87450395755855","326.8832312813384","24.99","21.392473967647224","3.6","75.28","80.4","8077925","-1446720","4041"
"2026-03-04","341.0","347.0","325.5","327.5","34857620","348.12458027178036","326.9289178530911","21.2","21.353111657855635","-0.16","51.16","70.66","1048734","-886388","4253"
"2026-03-05","343.5","357.0","342.5","353.5","34618546","348.9515679222757","328.89714616026953","20.05","21.093373678685737","-1.04","47.73","63.01","-261147","4677110","4204"
"2026-03-06","346.0","349.5","339.0","342.0","13941486","347.8820959342333","329.86772792617546","18.01","20.477572544560157","-2.46","39.85","55.29","-1970880","563000","4453"
"2026-03-09","308.0","320.0","308.0","320.0","31312536","343.592542713582","329.1367851168291","14.46","19.273209554998708","-4.82","31.22","47.27","-578708","821007","4385"
"2026-03-10","336.0","348.0","332.5","335.5","25037912","342.34753614226173","329.6081343674344","12.74","17.966447998964437","-5.23","31.47","42.0","-4025458","3448728","4463"
"2026-03-11","346.0","347.0","340.5","345.5","16983297","342.8325305819138","330.7853095994763","12.05","16.782602595659043","-4.74","35.52","39.84","-4572004","-108000","4841"
"2026-03-12","341.0","348.0","331.0","335.0","17240300","341.62752587700396","331.09750888840404","10.53","15.532085474247221","-5.0","35.84","38.51","-4332574","-74000","4825"
"2026-03-13","334.0","343.0","326.5","341.5","14244185","341.60790651131106","331.8680637855593","9.74","14.373636924548132","-4.63","39.96","38.99","536361","213113","4842"
"2026-03-16","343.5","347.0","335.0","337.5","12359954","340.97592089418623","332.28524424588824","8.69","13.237044869298105","-4.55","46.71","41.56","-3323401","339024","5067"
"2026-03-17","343.0","345.5","339.0","342.0","12206096","341.1334715258499","333.00485578322986","8.13","12.215359043962497","-4.09","54.27","45.8","81101","59000","4941"
"2026-03-18","348.0","363.0","348.0","357.5","27008427","343.65139898341147","334.81931091039803","8.83","11.538704849772685","-2.71","66.18","52.59","-3735146","307728","6120"
"2026-03-19","347.5","353.0","340.5","347.0","18102299","344.16656837057894","335.72158417629447","8.44","10.919960718675043","-2.47","67.76","57.65","-5528842","-218000","5436"
"2026-03-20","348.0","352.0","340.5","344.0","22723737","344.1409424674129","336.3348001632356","7.81","10.297197035775492","-2.49","61.15","58.81","-3002127","-973773","5413"
"2026-03-23","319.0","331.0","318.5","329.5","15488450","341.8884897801186","335.8285186696626","6.06","9.449751850711591","-3.39","49.01","55.55","-914233","-99324","5278"
"2026-03-24","338.0","341.0","329.0","332.5","10933076","340.44410673702345","335.5819617311691","4.86","8.532230481740145","-3.67","43.16","51.42","1788018","52757","5092"
"2026-03-25","349.5","357.5","347.0","352.0","16820631","342.22193646978906","336.79811271404543","5.42","7.910549136540841","-2.49","53.87","52.23","2675055","959670","4984"
"2026-03-26","353.0","366.0","352.5","359.0","19941819","344.8031770128984","338.44269695744947","6.36","7.60053532032246","-1.24","64.33","56.27","2291908","-314356","4551"
"2026-03-27","347.5","354.0","342.5","353.5","17087472","346.1411497801448","339.5580527383791","6.58","7.397047664611111","-0.81","67.45","59.99","-3893473","65995","4715"
"2026-03-30","343.0","355.0","342.0","353.5","16289398","347.2732805831995","340.5907895725732","6.68","7.254136333814145","-0.57","69.53","63.17","-300743","225964","4559"
"2026-03-31","342.0","345.0","328.5","328.5","27274107","344.38508357039956","339.6951755301604","4.69","6.741290675099151","-2.05","53.37","59.9","-5951261","-615000","5127"
"2026-04-01","345.0","361.0","344.5","361.0","18680325","346.94122455956887","341.27331067607446","5.67","6.526615316778203","-0.86","65.4","61.74","6386269","218740","4518"
