"日期","open","high","low","收盤價","成交量","ema12","ema26","dif","macd_signal","macd_hist","k","d","外資買賣超","投信買賣超","融資餘額"
"2026-01-23","1280.0","1285.0","1245.0","1260.0","18187774","1123.8783620707172","1060.806026051292","63.07","41.340838019627476","21.73","86.33","80.79","-1423582","202969","8847"
"2026-01-26","1220.0","1240.0","1205.0","1230.0","13054383","1140.2047679059915","1073.3389130104556","66.87","46.445841394809165","20.42","83.83","81.81","-2542031","207547","8406"
"2026-01-27","1230.0","1260.0","1220.0","1250.0","9071726","1157.0963420743005","1086.4249194541255","70.67","51.290957639882336","19.38","84.74","82.78","-39308","383276","8127"
"2026-01-28","1250.0","1280.0","1235.0","1280.0","11623072","1176.0045971397928","1100.7638143093754","75.24","56.08092267798935","19.16","89.08","84.88","1174675","245000","7278"
"2026-01-29","1310.0","1315.0","1240.0","1255.0","13505064","1188.157736041363","1112.1887169531255","75.97","60.05854196003898","15.91","83.42","84.39","-947024","56000","6754"
"2026-01-30","1250.0","1255.0","1215.0","1220.0","10993513","1193.0565458811534","1120.1747379195608","72.88","62.62319516034971","10.26","74.22","81.0","-349313","3000","6391"
"2026-02-02","1185.0","1200.0","1160.0","1175.0","13451195","1190.2786157455914","1124.2358684440378","66.04","63.30710558859049","2.74","59.48","73.83","299437","-1024931","6139"
"2026-02-03","1205.0","1220.0","1175.0","1215.0","11407245","1194.081905630885","1130.9591374481831","63.12","63.270238107412794","-0.15","51.48","66.38","-1110195","-40794","6283"
"2026-02-04","1220.0","1220.0","1195.0","1210.0","7342941","1196.5308432261336","1136.814016155725","59.72","62.559555900011944","-2.84","45.07","59.28","1111657","78976","6152"
"2026-02-05","1175.0","1180.0","1130.0","1150.0","15861433","1189.3722519605747","1137.7907556997454","51.58","60.363943972175406","-8.78","33.65","50.74","-6112435","-38787","6102"
"2026-02-06","1135.0","1170.0","1115.0","1160.0","10693038","1184.85344396664","1139.4358849071716","45.42","57.374666989634015","-11.96","29.93","43.8","-509099","476110","5932"
"2026-02-09","1200.0","1210.0","1180.0","1180.0","9124038","1184.1067602794647","1142.440634173307","41.67","54.23295881293875","-12.57","30.79","39.46","-425163","38999","6082"
"2026-02-10","1205.0","1210.0","1170.0","1185.0","8355167","1184.2441817749316","1145.5931797900992","38.65","51.11656744731748","-12.47","32.19","37.04","-929400","9000","6254"
"2026-02-11","1200.0","1265.0","1190.0","1260.0","15443021","1195.8989230403267","1154.0677590649066","41.83","49.25948675293802","-7.43","53.68","42.59","1445691","684000","6443"
"2026-02-23","1320.0","1380.0","1295.0","1305.0","22078521","1212.6837041110457","1165.2479250600989","47.44","48.89474521253979","-1.46","59.69","48.29","1709933","766000","6544"
"2026-02-24","1355.0","1385.0","1335.0","1385.0","14083155","1239.193903478577","1181.5258565371287","57.67","50.649405558321526","7.02","73.13","56.57","1948928","312369","6655"
"2026-02-25","1425.0","1480.0","1380.0","1435.0","14709013","1269.3179183280267","1200.3017190158598","69.02","54.32276430909061","14.69","77.97","63.7","708484","420661","6634"
"2026-02-26","1450.0","1455.0","1415.0","1430.0","17965290","1294.0382385852533","1217.3164064961663","76.72","58.80257786508989","17.92","80.75","69.39","-2362220","986510","6549"
"2026-03-02","1355.0","1445.0","1355.0","1425.0","15569999","1314.1862018798297","1232.700376385339","81.49","63.33922739097004","18.15","82.14","73.64","209880","162400","6395"
"2026-03-03","1410.0","1435.0","1340.0","1340.0","17852498","1318.157555436779","1240.6484966530918","77.51","66.17319366951347","11.34","73.04","73.44","-2065172","-175700","5680"
